,est,date
604,136.5597401307401,2018-04-23
605,136.4996478797944,2018-04-24
606,134.7726206190123,2018-04-25
607,135.12903719785902,2018-04-26
608,135.97455279960573,2018-04-27
609,135.79860545657283,2018-04-30
610,135.19893087283776,2018-05-01
611,135.54339862303442,2018-05-02
612,134.57634014207582,2018-05-03
613,134.3997372552464,2018-05-04
614,135.908152461935,2018-05-07
615,136.11893217153158,2018-05-08
616,136.40666651619728,2018-05-09
617,137.80949545379383,2018-05-10
618,138.7890112874378,2018-05-11
619,139.041423839218,2018-05-14
620,139.31884549409617,2018-05-15
621,138.6158735589263,2018-05-16
622,139.3298796638938,2018-05-17
623,139.09248369400115,2018-05-18
624,138.97017239193465,2018-05-21
625,139.99585027813237,2018-05-22
626,139.21907544970105,2018-05-23
627,139.91547947501977,2018-05-24
628,139.5255052816422,2018-05-25
629,139.42336382015563,2018-05-29
630,138.17090469858132,2018-05-30
631,139.86643576817224,2018-05-31
632,138.36314437894276,2018-06-01
633,140.3040006634777,2018-06-04
634,140.58157178944785,2018-06-05
635,140.95189627397832,2018-06-06
636,142.3001687436099,2018-06-07
637,141.8256084308151,2018-06-08
638,142.63198146569482,2018-06-11
639,142.72657016205082,2018-06-12
640,143.08982398331608,2018-06-13
641,142.58199286115405,2018-06-14
642,143.07608808238467,2018-06-15
643,142.75814076034538,2018-06-18
644,142.75055004082031,2018-06-19
645,142.31168633319135,2018-06-20
646,142.6266658685602,2018-06-21
647,141.6084818191953,2018-06-22
648,141.99720565966422,2018-06-25
649,139.95740382841484,2018-06-26
650,140.5670105184338,2018-06-27
651,138.87273568235693,2018-06-28
652,139.8716350154095,2018-06-29
653,139.560896244042,2018-07-02
654,140.08317407100256,2018-07-03
655,139.69110128333605,2018-07-05
656,140.93968842494024,2018-07-06
657,141.88873197131193,2018-07-09
658,143.18543409093442,2018-07-10
659,143.48676500157939,2018-07-11
660,142.78135015890018,2018-07-12
661,144.02384640972323,2018-07-13
662,143.7356191653149,2018-07-16
663,143.78925205284384,2018-07-17
664,144.44983417708005,2018-07-18
665,144.62140369472294,2018-07-19
666,144.36392012833227,2018-07-20
667,144.26340415383694,2018-07-23
668,144.41387265924482,2018-07-24
669,144.65808049879664,2018-07-25
670,145.8740959149313,2018-07-26
671,145.38672980579096,2018-07-27
672,144.70794908490134,2018-07-30
673,143.96450286390996,2018-07-31
674,144.5240852879419,2018-08-01
675,144.02772156740735,2018-08-02
676,145.08934511877482,2018-08-03
677,145.3997078167249,2018-08-06
678,146.14382721346766,2018-08-07
679,146.57988833539545,2018-08-08
680,146.45075998407552,2018-08-09
681,146.51510523613342,2018-08-10
682,145.67586668753833,2018-08-13
683,145.28005492981686,2018-08-14
684,145.9893364162744,2018-08-15
685,144.6781569290309,2018-08-16
686,146.06659390722945,2018-08-17
687,146.2324398188828,2018-08-20
688,146.63793657455295,2018-08-21
689,147.24794665012823,2018-08-22
690,147.21812671981812,2018-08-23
691,147.0791185105652,2018-08-24
692,147.9841626895653,2018-08-27
693,148.869955627824,2018-08-28
694,148.87757708604047,2018-08-29
695,149.89195684551103,2018-08-30
696,149.13790234623877,2018-08-31
697,149.5061191035636,2018-09-04
698,149.1582552908873,2018-09-05
699,148.75969844817192,2018-09-06
700,148.3763363301231,2018-09-07
701,148.01800622360602,2018-09-10
702,148.23336481061767,2018-09-11
703,148.63355272077055,2018-09-12
704,148.5810619270273,2018-09-13
705,149.43391821296032,2018-09-14
706,149.39425501028717,2018-09-17
707,148.69867995570183,2018-09-18
708,149.5428761773515,2018-09-19
709,149.2462953443861,2018-09-20
710,150.5709980296818,2018-09-21
711,150.15637437379812,2018-09-24
712,149.9863606179029,2018-09-25
713,149.96091523874804,2018-09-26
714,149.3173358351313,2018-09-27
715,149.6837296393332,2018-09-28
716,149.57036110680238,2018-10-01
717,149.86825505774289,2018-10-02
718,149.6204042830344,2018-10-03
719,149.887367647416,2018-10-04
720,148.68663038091495,2018-10-05
721,148.03790588751298,2018-10-08
722,147.7732067131891,2018-10-09
723,147.31259225708908,2018-10-10
724,143.13476009809378,2018-10-11
725,140.99150506685055,2018-10-12
726,141.8838024836578,2018-10-15
727,140.28058080519946,2018-10-16
728,143.8481323869746,2018-10-17
729,143.05150235026787,2018-10-18
730,141.95462963674922,2018-10-19
731,141.91117534696292,2018-10-22
732,140.93513556414962,2018-10-23
733,140.1779648404895,2018-10-24
734,136.26054095127597,2018-10-25
735,138.90836413368027,2018-10-26
736,135.32197267831026,2018-10-29
737,135.69445959108256,2018-10-30
738,137.1609768536451,2018-10-31
739,138.13839122296045,2018-11-01
740,139.86447552031623,2018-11-02
741,139.16890635443514,2018-11-05
742,140.29367181731962,2018-11-06
743,140.9149260773638,2018-11-07
744,143.77307084790476,2018-11-08
745,142.9316854843621,2018-11-09
746,142.389730267667,2018-11-12
747,140.066864614373,2018-11-13
748,139.94894884262374,2018-11-14
749,138.37372383531365,2018-11-15
750,139.85375878602088,2018-11-16
751,139.7242915196756,2018-11-19
752,137.8520947119605,2018-11-20
753,136.03615064628352,2018-11-21
754,136.39861561835482,2018-11-23
