date,open,high,low,close,volume
3/17/1980,0.3255,0.3307,0.3255,0.3255,10924800
3/18/1980,0.3255,0.3281,0.3229,0.3229,17068800
3/19/1980,0.3307,0.3359,0.3307,0.3307,18508800
3/20/1980,0.3307,0.3346,0.3294,0.3294,11174400
3/21/1980,0.3229,0.3229,0.3177,0.3177,12172800
3/24/1980,0.3164,0.3164,0.3112,0.3112,8966400
3/25/1980,0.3125,0.3177,0.3125,0.3125,11347200
3/26/1980,0.3125,0.3151,0.3099,0.3099,16262400
3/27/1980,0.3047,0.3047,0.2995,0.2995,26918400
3/28/1980,0.3112,0.3164,0.3112,0.3112,20102400
3/31/1980,0.3216,0.3268,0.3216,0.3216,9004800
4/1/1980,0.3229,0.3281,0.3229,0.3229,8179200
4/2/1980,0.3255,0.3307,0.3255,0.3255,12556800
4/3/1980,0.3242,0.3242,0.319,0.319,6988800
4/7/1980,0.3164,0.3164,0.3112,0.3112,13478400
4/8/1980,0.3125,0.3177,0.3125,0.3125,29184000
4/9/1980,0.3112,0.3112,0.306,0.306,11558400
4/10/1980,0.306,0.3099,0.3047,0.3047,14784000
4/11/1980,0.3047,0.3099,0.3047,0.3047,9523200
4/14/1980,0.3073,0.3125,0.3073,0.3073,8025600
4/15/1980,0.3073,0.3086,0.3034,0.3034,10598400
4/16/1980,0.2969,0.2969,0.2917,0.2917,10752000
4/17/1980,0.2917,0.2917,0.2865,0.2865,17702400
4/18/1980,0.2904,0.2956,0.2904,0.2904,18739200
4/21/1980,0.2904,0.293,0.2878,0.2878,9043200
4/22/1980,0.3008,0.306,0.3008,0.3008,20428800
4/23/1980,0.319,0.3242,0.319,0.319,14822400
4/24/1980,0.3203,0.3255,0.3203,0.3203,8832000
4/25/1980,0.3203,0.3203,0.3151,0.3151,7104000
4/28/1980,0.3151,0.3177,0.3125,0.3125,6931200
4/29/1980,0.3151,0.3203,0.3151,0.3151,6297600
4/30/1980,0.319,0.3242,0.319,0.319,7065600
5/1/1980,0.3203,0.3255,0.3203,0.3203,7008000
5/2/1980,0.3255,0.3307,0.3255,0.3255,5510400
5/5/1980,0.3294,0.3346,0.3294,0.3294,3513600
5/6/1980,0.3294,0.3333,0.3281,0.3281,6988800
5/7/1980,0.3281,0.3333,0.3281,0.3281,6393600
5/8/1980,0.3281,0.3294,0.3242,0.3242,7468800
5/9/1980,0.3281,0.3333,0.3281,0.3281,16684800
5/12/1980,0.3281,0.332,0.3268,0.3268,8582400
5/13/1980,0.3333,0.3385,0.3333,0.3333,7372800
5/14/1980,0.3385,0.3438,0.3385,0.3385,4742400
5/15/1980,0.3411,0.3464,0.3411,0.3411,8102400
5/16/1980,0.3451,0.3503,0.3451,0.3451,4838400
5/19/1980,0.3464,0.3516,0.3464,0.3464,8640000
5/20/1980,0.3464,0.3477,0.3424,0.3424,21811200
5/21/1980,0.3398,0.3398,0.3346,0.3346,10540800
5/22/1980,0.3346,0.3359,0.3307,0.3307,5318400
5/23/1980,0.3424,0.3477,0.3424,0.3424,29779200
5/27/1980,0.3424,0.3464,0.3411,0.3411,8332800
5/28/1980,0.349,0.3542,0.349,0.349,6700800
5/29/1980,0.349,0.3542,0.349,0.349,7660800
5/30/1980,0.3542,0.3594,0.3542,0.3542,5721600
6/2/1980,0.3555,0.3607,0.3555,0.3555,6355200
6/3/1980,0.3516,0.3516,0.3464,0.3464,15244800
6/4/1980,0.3516,0.3568,0.3516,0.3516,7680000
6/5/1980,0.3516,0.3568,0.3516,0.3516,6470400
6/6/1980,0.3516,0.3542,0.349,0.349,28723200
6/9/1980,0.349,0.3516,0.3464,0.3464,7545600
6/10/1980,0.3503,0.3555,0.3503,0.3503,17280000
6/11/1980,0.3542,0.3594,0.3542,0.3542,3206400
6/12/1980,0.3542,0.3542,0.349,0.349,10809600
6/13/1980,0.349,0.3542,0.349,0.349,3590400
6/16/1980,0.349,0.3542,0.349,0.349,7987200
6/17/1980,0.349,0.3529,0.3477,0.3477,12864000
6/18/1980,0.3477,0.3503,0.3451,0.3451,8064000
6/19/1980,0.3438,0.3438,0.3385,0.3385,13689600
6/20/1980,0.3398,0.3451,0.3398,0.3398,7027200
6/23/1980,0.3398,0.3451,0.3398,0.3398,9888000
6/24/1980,0.3398,0.3451,0.3398,0.3398,9676800
6/25/1980,0.3438,0.349,0.3438,0.3438,15494400
6/26/1980,0.3438,0.349,0.3438,0.3438,10156800
6/27/1980,0.3451,0.3503,0.3451,0.3451,6912000
6/30/1980,0.3451,0.3477,0.3424,0.3424,5337600
7/1/1980,0.3477,0.3529,0.3477,0.3477,9811200
7/2/1980,0.3503,0.3555,0.3503,0.3503,6585600
7/3/1980,0.3529,0.3581,0.3529,0.3529,4550400
7/7/1980,0.3659,0.3685,0.3659,0.3659,19545600
7/8/1980,0.3737,0.3763,0.3737,0.3737,13190400
7/9/1980,0.3737,0.375,0.3737,0.3737,9388800
7/10/1980,0.3789,0.3802,0.3789,0.3789,14092800
7/11/1980,0.3789,0.3802,0.3776,0.3776,9888000
7/14/1980,0.3815,0.3841,0.3815,0.3815,15052800
7/15/1980,0.3932,0.3945,0.3932,0.3932,20678400
7/16/1980,0.3997,0.401,0.3997,0.3997,11692800
7/17/1980,0.4089,0.4115,0.4089,0.4089,15456000
7/18/1980,0.4193,0.4206,0.4193,0.4193,12576000
7/21/1980,0.4193,0.4206,0.4193,0.4193,14208000
7/22/1980,0.4167,0.4167,0.4141,0.4141,14150400
7/23/1980,0.4115,0.4115,0.4102,0.4102,8371200
7/24/1980,0.4089,0.4089,0.4076,0.4076,11616000
7/25/1980,0.4049,0.4049,0.4036,0.4036,22156800
7/28/1980,0.4076,0.4102,0.4076,0.4076,7372800
7/29/1980,0.4258,0.4284,0.4258,0.4258,11424000
7/30/1980,0.4388,0.4401,0.4388,0.4388,12614400
7/31/1980,0.4414,0.444,0.4414,0.4414,24384000
8/1/1980,0.4388,0.4388,0.4349,0.4349,9523200
8/4/1980,0.4414,0.4453,0.4414,0.4414,5721600
8/5/1980,0.444,0.4466,0.444,0.444,6720000
8/6/1980,0.444,0.444,0.4401,0.4401,11193600
8/7/1980,0.4453,0.4466,0.4453,0.4453,8812800
8/8/1980,0.4518,0.4544,0.4518,0.4518,5817600
8/11/1980,0.4805,0.4831,0.4805,0.4805,7276800
8/12/1980,0.4818,0.487,0.4818,0.4818,22406400
8/13/1980,0.4753,0.4753,0.4727,0.4727,12153600
8/14/1980,0.4727,0.474,0.4727,0.4727,8793600
8/15/1980,0.4688,0.4688,0.4661,0.4661,41011200
8/18/1980,0.4544,0.4544,0.4531,0.4531,7699200
8/19/1980,0.4479,0.4479,0.4466,0.4466,8889600
8/20/1980,0.4557,0.4583,0.4557,0.4557,11808000
8/21/1980,0.4609,0.4622,0.4609,0.4609,11251200
8/22/1980,0.4635,0.4648,0.4635,0.4635,38515200
8/25/1980,0.4635,0.4648,0.4635,0.4635,11174400
8/26/1980,0.4635,0.4648,0.4635,0.4635,20160000
8/27/1980,0.4635,0.4635,0.4622,0.4622,3513600
8/28/1980,0.4596,0.4596,0.4583,0.4583,6451200
8/29/1980,0.457,0.457,0.4557,0.4557,15552000
9/2/1980,0.4622,0.4635,0.4622,0.4622,6816000
9/3/1980,0.4766,0.4792,0.4766,0.4766,9292800
9/4/1980,0.4805,0.4831,0.4805,0.4805,16147200
9/5/1980,0.4792,0.4792,0.4779,0.4779,6259200
9/8/1980,0.4674,0.4674,0.4648,0.4648,4300800
9/9/1980,0.4661,0.4674,0.4661,0.4661,13632000
9/10/1980,0.4635,0.4635,0.4609,0.4609,10099200
9/11/1980,0.4635,0.4648,0.4635,0.4635,5990400
9/12/1980,0.4635,0.4635,0.4622,0.4622,4800000
9/15/1980,0.4583,0.4583,0.457,0.457,5337600
9/16/1980,0.4701,0.4714,0.4701,0.4701,9139200
9/17/1980,0.4909,0.4922,0.4909,0.4909,11577600
9/18/1980,0.4922,0.4935,0.4922,0.4922,14227200
9/19/1980,0.4961,0.4974,0.4961,0.4961,6086400
9/22/1980,0.4909,0.4909,0.4883,0.4883,8313600
9/23/1980,0.4714,0.4714,0.4701,0.4701,7142400
9/24/1980,0.4674,0.4674,0.4648,0.4648,10022400
9/25/1980,0.4609,0.4609,0.4596,0.4596,11520000
9/26/1980,0.4557,0.4557,0.4531,0.4531,9312000
9/29/1980,0.4544,0.4557,0.4544,0.4544,3801600
9/30/1980,0.4635,0.4661,0.4635,0.4635,6086400
10/1/1980,0.4688,0.4701,0.4688,0.4688,5971200
10/2/1980,0.4688,0.4701,0.4674,0.4674,4281600
10/3/1980,0.4831,0.4844,0.4831,0.4831,5068800
10/6/1980,0.513,0.5156,0.513,0.513,10060800
10/7/1980,0.5143,0.5169,0.5143,0.5143,9158400
10/8/1980,0.5052,0.5052,0.5039,0.5039,25036800
10/9/1980,0.504,0.5052,0.5026,0.5026,4348800
10/10/1980,0.5,0.5,0.4974,0.4974,6624000
10/13/1980,0.5,0.5026,0.5,0.5,3235200
10/14/1980,0.5026,0.5078,0.5026,0.5026,6652800
10/15/1980,0.513,0.5156,0.513,0.513,4416000
10/16/1980,0.513,0.5156,0.5104,0.5104,5942400
10/17/1980,0.5104,0.5104,0.5052,0.5052,6988800
10/20/1980,0.5026,0.5026,0.5,0.5,6489600
10/21/1980,0.4974,0.4974,0.4948,0.4948,8908800
10/22/1980,0.5,0.5026,0.5,0.5,5136000
10/23/1980,0.4948,0.4948,0.4896,0.4896,3206400
10/24/1980,0.4818,0.4818,0.4792,0.4792,4204800
10/27/1980,0.4557,0.4557,0.4531,0.4531,5769600
10/28/1980,0.4661,0.4714,0.4661,0.4661,4473600
10/29/1980,0.4766,0.4792,0.4766,0.4766,6844800
10/30/1980,0.4323,0.4323,0.4271,0.4271,54960000
10/31/1980,0.4375,0.4401,0.4375,0.4375,16579200
11/3/1980,0.4375,0.4401,0.4375,0.4375,18777600
11/5/1980,0.4688,0.4714,0.4688,0.4688,16108800
11/6/1980,0.4427,0.4427,0.4401,0.4401,20659200
11/7/1980,0.4479,0.4531,0.4479,0.4479,7334400
11/10/1980,0.4479,0.4505,0.4453,0.4453,8390400
11/11/1980,0.4531,0.4557,0.4531,0.4531,8620800
11/12/1980,0.4688,0.4714,0.4688,0.4688,13440000
11/13/1980,0.4792,0.4818,0.4792,0.4792,9753600
11/14/1980,0.5,0.5052,0.5,0.5,12028800
11/17/1980,0.5026,0.5052,0.5026,0.5026,8515200
11/18/1980,0.5156,0.5182,0.5156,0.5156,8467200
11/19/1980,0.5104,0.5104,0.5078,0.5078,10387200
